时间,带宽(bps)
2016-09-19T16:30:00+08:00,844398365
2016-09-19T16:35:00+08:00,892283187
2016-09-19T16:40:00+08:00,890844246
2016-09-19T16:45:00+08:00,945716013
2016-09-19T16:50:00+08:00,1020014663
2016-09-19T16:55:00+08:00,954612095
2016-09-19T17:00:00+08:00,956488482
2016-09-19T17:05:00+08:00,940488061
2016-09-19T17:10:00+08:00,979691302
2016-09-19T17:15:00+08:00,916480939
2016-09-19T17:20:00+08:00,971043391
2016-09-19T17:25:00+08:00,887856580
2016-09-19T17:30:00+08:00,864604394
2016-09-19T17:35:00+08:00,893675710
2016-09-19T17:40:00+08:00,942123189
2016-09-19T17:45:00+08:00,907224763
2016-09-19T17:50:00+08:00,842511403
2016-09-19T17:55:00+08:00,782614190
2016-09-19T18:00:00+08:00,800626359
2016-09-19T18:05:00+08:00,891177184
2016-09-19T18:10:00+08:00,879039227
2016-09-19T18:15:00+08:00,858336040
2016-09-19T18:20:00+08:00,851081834
2016-09-19T18:25:00+08:00,885034607
2016-09-19T18:30:00+08:00,863162982
2016-09-19T18:35:00+08:00,978607178
2016-09-19T18:40:00+08:00,1076410722
2016-09-19T18:45:00+08:00,1044706184
2016-09-19T18:50:00+08:00,1047796631
2016-09-19T18:55:00+08:00,1032265556
2016-09-19T19:00:00+08:00,991561695
2016-09-19T19:05:00+08:00,1099368065
2016-09-19T19:10:00+08:00,1206846953
2016-09-19T19:15:00+08:00,1105387917
2016-09-19T19:20:00+08:00,1091998397
2016-09-19T19:25:00+08:00,1121587683
2016-09-19T19:30:00+08:00,1187239487
2016-09-19T19:35:00+08:00,1153174291
2016-09-19T19:40:00+08:00,1129587820
2016-09-19T19:45:00+08:00,1225934128
2016-09-19T19:50:00+08:00,1225769319
2016-09-19T19:55:00+08:00,1302630812
2016-09-19T20:00:00+08:00,1318967288
2016-09-19T20:05:00+08:00,1400247398
2016-09-19T20:10:00+08:00,1474606518
2016-09-19T20:15:00+08:00,1399009866
2016-09-19T20:20:00+08:00,1523944472
2016-09-19T20:25:00+08:00,1590074243
2016-09-19T20:30:00+08:00,1599747189
2016-09-19T20:35:00+08:00,1509425150
2016-09-19T20:40:00+08:00,1574089420
2016-09-19T20:45:00+08:00,1593694273
2016-09-19T20:50:00+08:00,1572743191
2016-09-19T20:55:00+08:00,1628954885
2016-09-19T21:00:00+08:00,1692498216
2016-09-19T21:05:00+08:00,1681883731
2016-09-19T21:10:00+08:00,1752501372
2016-09-19T21:15:00+08:00,1918927817
2016-09-19T21:20:00+08:00,1800034815
2016-09-19T21:25:00+08:00,1729027620
2016-09-19T21:30:00+08:00,1708744585
2016-09-19T21:35:00+08:00,1807088039
2016-09-19T21:40:00+08:00,1807325836
2016-09-19T21:45:00+08:00,1834339450
2016-09-19T21:50:00+08:00,1894660670
2016-09-19T21:55:00+08:00,1852928665
2016-09-19T22:00:00+08:00,1758679978
2016-09-19T22:05:00+08:00,1794070293
2016-09-19T22:10:00+08:00,1914384854
2016-09-19T22:15:00+08:00,1877135109
2016-09-19T22:20:00+08:00,1816504461
2016-09-19T22:25:00+08:00,1755592406
2016-09-19T22:30:00+08:00,1864918710
2016-09-19T22:35:00+08:00,1828585308
2016-09-19T22:40:00+08:00,1899391962
2016-09-19T22:45:00+08:00,1788774719
2016-09-19T22:50:00+08:00,1695391690
2016-09-19T22:55:00+08:00,1704197764
2016-09-19T23:00:00+08:00,1559324800
2016-09-19T23:05:00+08:00,1624377090
2016-09-19T23:10:00+08:00,1626733594
2016-09-19T23:15:00+08:00,1561497371
2016-09-19T23:20:00+08:00,1572813927
2016-09-19T23:25:00+08:00,1480975315
2016-09-19T23:30:00+08:00,1516297505
2016-09-19T23:35:00+08:00,1414009243
2016-09-19T23:40:00+08:00,1424732467
2016-09-19T23:45:00+08:00,1419951099
2016-09-19T23:50:00+08:00,1288324197
2016-09-19T23:55:00+08:00,1430411337
2016-09-20T00:00:00+08:00,1369677120
2016-09-20T00:05:00+08:00,1289206476
2016-09-20T00:10:00+08:00,1241443382
2016-09-20T00:15:00+08:00,1149392033
2016-09-20T00:20:00+08:00,1147033908
2016-09-20T00:25:00+08:00,1030955569
2016-09-20T00:30:00+08:00,958752662
2016-09-20T00:35:00+08:00,899430580
2016-09-20T00:40:00+08:00,963599586
2016-09-20T00:45:00+08:00,1078043562
2016-09-20T00:50:00+08:00,1134695729
2016-09-20T00:55:00+08:00,1072781489
2016-09-20T01:00:00+08:00,972770142
2016-09-20T01:05:00+08:00,864328744
2016-09-20T01:10:00+08:00,800430872
2016-09-20T01:15:00+08:00,830593273
2016-09-20T01:20:00+08:00,789299263
2016-09-20T01:25:00+08:00,694755158
2016-09-20T01:30:00+08:00,806497009
2016-09-20T01:35:00+08:00,692027665
2016-09-20T01:40:00+08:00,670482948
2016-09-20T01:45:00+08:00,617901422
2016-09-20T01:50:00+08:00,621778567
2016-09-20T01:55:00+08:00,572461614
2016-09-20T02:00:00+08:00,544865202
2016-09-20T02:05:00+08:00,633255838
2016-09-20T02:10:00+08:00,629444605
2016-09-20T02:15:00+08:00,575100560
2016-09-20T02:20:00+08:00,477864689
2016-09-20T02:25:00+08:00,482281465
2016-09-20T02:30:00+08:00,478509986
2016-09-20T02:35:00+08:00,459068873
2016-09-20T02:40:00+08:00,465977058
2016-09-20T02:45:00+08:00,395250081
2016-09-20T02:50:00+08:00,369002545
2016-09-20T02:55:00+08:00,358865306
2016-09-20T03:00:00+08:00,383186270
2016-09-20T03:05:00+08:00,374707535
2016-09-20T03:10:00+08:00,364034929
2016-09-20T03:15:00+08:00,328125927
2016-09-20T03:20:00+08:00,298875228
2016-09-20T03:25:00+08:00,294067774
2016-09-20T03:30:00+08:00,318030807
2016-09-20T03:35:00+08:00,360847739
2016-09-20T03:40:00+08:00,429569717
2016-09-20T03:45:00+08:00,342077983
2016-09-20T03:50:00+08:00,282873309
2016-09-20T03:55:00+08:00,245253734
2016-09-20T04:00:00+08:00,247207537
2016-09-20T04:05:00+08:00,288782137
2016-09-20T04:10:00+08:00,251490695
2016-09-20T04:15:00+08:00,233474342
2016-09-20T04:20:00+08:00,290667431
2016-09-20T04:25:00+08:00,250317790
2016-09-20T04:30:00+08:00,222318961
2016-09-20T04:35:00+08:00,264867441
2016-09-20T04:40:00+08:00,224004364
2016-09-20T04:45:00+08:00,232651210
2016-09-20T04:50:00+08:00,205489407
2016-09-20T04:55:00+08:00,207884154
2016-09-20T05:00:00+08:00,214811411
2016-09-20T05:05:00+08:00,220302445
